PROYECTO,TIPO DE PRODUCTO,SUBPRODUCTO,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,COLABORACION,DESCRIPCION,COLABORAC?N INTERNA,ALIADOS  SENECA,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,OTRAS INSTITUCIONES,TIPO DE RELACION,PROYECTO2,TIPO DE COMPROMISO,N£mero de autores,N£mero de autores S‚neca,N£mero de grupos involucrados,N£mero de grupos S‚neca involucrados,N£mero de InstitucIONes,N£mero de InstitucIONes S‚neca,DESCRIPCION PRODUCTO,ENLACE,Caso SSOFI,EstudIantes,Informe de reporte,titulo,Validado Colciencias,Autor 1,Inst Autor 1,Grupo Autor 1,Autor 2,Inst Autor 2,Grupo Autor 2,Autor 3,Inst Autor 3,Grupo Autor 3,Autor 4,Inst Autor 4,Grupo Autor 4,Autor 5,Inst Autor 5,Grupo Autor 5,Autor 6,Inst Autor 6,Grupo Autor 6,Autor 7,Inst Autor 7,Grupo Autor 7,Autor 8,Inst Autor 8,Grupo Autor 8,Autor 9,Inst Autor 9,Grupo Autor 9,Autor 10,Inst Autor 10,Grupo Autor 10,Autor 11,Inst Autor 11,Grupo Autor 11,Autor 12,Inst Autor 12,Grupo Autor 12,Autor 13,Inst Autor 13,Grupo Autor 13,Autor 14,Inst Autor 14,Grupo Autor 14,PublicacION,Factor impacto
PROY12,FORMACION_RH,VINCULACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,PROYECTO,"UNIVERSIDAD DE ANTIOQUIA, UNIVERSIDAD DEL CAUCA",,,,,,,,,,,,,NINGUNA,,ADICIONAL,,,,,,,GOMEZ JARAMILLO DIONA MARIA,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1PT6DJI6Q6Z32JPANLO2I2_-IZDZDQSCA,,EN CURSO,2,DOCTORADO EN INGENIERIA ELECTRONICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY8,FORMACION_RH,VINCULACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,PROYECTO,"UNIVERSIDAD DE ANTIOQUIA, UNIVERSIDAD DE LA SABANA",,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,,,,,,,MARIN GOMEZ JAMES ALBERTO,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=18OHBACQL-RE7OKM6C2XTEHKOF9XANART,,EN CURSO,3,MAESTRIAEN INGENIERIA AMBIENTAL UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY2,FORMACION_RH,VINCULACION DE ESTUDIONTE DE PREGRADO,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,PROYECTO,"UNIVERSIDAD DE ANTIOQUIA, UAC",,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,,,,,,,URIBE GALEANO MARIA ISABEL,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1QWFZXXML-7S6BHEPDOGN-4IRT30MQV0T,,EN CURSO,2,INGENIERIA DE MATERIALES UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY2,FORMACION_RH,VINCULACION DE ESTUDIONTE DE PREGRADO,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,PROYECTO,"UNIVERSIDAD DE ANTIOQUIA, UAC",,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,,,,,,,VELASQUEZ CARDONA JUAN PABLO,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1RCW6BBPTQHZ1TC52N0WZ_1IH6QBVUUUT,,EN CURSO,2,INGENIERIA DE MATERIALES UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY3,FORMACION_RH,VINCULACION DE ESTUDIONTE DE PREGRADO,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,PROYECTO,"UNIVERSIDAD DE ANTIOQUIA , UNIVERSIDAD DE PAMPLONA",,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,,,,,,,LOPEZ RODRIGUEZ ANDRES FELIPE,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1OEKI0XKHN0XGFU4X3MR464JXE1PR36NA,,EN CURSO,2,INGENIERIA MECANICA - PAMPLONA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY1,FORMACION_RH,VINCULACION DE ESTUDIONTE DE PREGRADO,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,,,,,,,AGUIRRE PINEDA JUAN DAVID,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1NUYFWR5CNOGKR_4KGRGUD2ICO-DQ5PNL,,EN CURSO,2,INGENIERIA MECANICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY9,APROPIACION,PONENCIA,PONENCIA,EVENTO CIONTIFICO,CARTILLA,"CURSO DE CAPACITACION, SEMINARIO O TALLER",SOCIALIZACION DE RESULTADOS A ACTORES DEL SECTOR,ARTICULACION DE REDES DE CONOCIMIONTO,CIRCULACION DE CONOCIMIONTO ESPECIALIZADO - BOLETINES,,,,,,,,,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE LA GUAJIRA,,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,1,1,1,1,1,1,ISBN: 978-959-312-372-3. II CONFERENCIA INTERNACIONAL DE DESARROLLO ENERGETICO SOSTENIBLE 2019,NO HA SUMINISTRADO EL ARCHIVO,NO HAY CASO SSOFI A JULIO 26,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY1,FORMACION_RH,VINCULACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,,,,,,,LAURA ISABEL VELASQUEZ GARCIA BECA UNIVERSIDAD DE ANTIOQUIA,,,EN CURSO,2,DOCTORADO EN INGENIERIA AMBIENTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY4,FORMACION_RH,VINCULACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,NINGUNA,,ADICIONAL,,,,,,,LILIONA LOPEZ CHALARCA; ESTUDIANTE INSTRUCTORA,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1UXUNPP6CWNQHSDRBVUCTTSE3UR2NDBMH,,EN CURSO,3,DOCTORADO EN INGENIERIA DE MATERIALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY4,FORMACION_RH,VINCULACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,NINGUNA,,ADICIONAL,,,,,,,NERLY LILION MOSQUERA MOSQUERA,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1UXUNPP6CWNQHSDRBVUCTTSE3UR2NDBMH,,EN CURSO,3,DOCTORADO EN INGENIERIA DE MATERIALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
